department,quarter,no_of_workers,defects_day,Total_Produced
Sweatshirt,Quarter1,59.0,9.2,285.8
Gloves,Quarter4,98.7,9.8,1056.3
Gloves,Quarter1,44.8,5.5,392.2
Gloves,Quarter1,13.5,1.7,116.4
T-Shirt,Quarter4,35.1,4.0,241.7
Gloves,Quarter1,84.6,2.6,671.6
Gloves,Quarter2,27.9,3.3,247.8
Gloves,Quarter4,58.6,4.7,630.5
Gloves,Quarter2,28.0,1.7,276.6
Sweatshirt,Quarter2,45.0,4.1,265.9
T-Shirt,Quarter2,71.4,1.3,638.7
Gloves,Quarter4,53.7,6.2,417.2
Gloves,Quarter3,31.9,9.9,299.2
Sweatshirt,Quarter4,51.0,8.8,237.4
Gloves,Quarter2,78.2,0.7,701.7
Sweatshirt,Quarter3,61.8,2.4,306.6
Gloves,Quarter4,94.3,1.9,752.5
T-Shirt,Quarter2,25.0,5.6,133.2
T-Shirt,Quarter1,39.7,4.6,273.3
Sweatshirt,Quarter4,82.6,2.0,409.0
T-Shirt,Quarter3,64.1,4.7,444.0
T-Shirt,Quarter4,29.5,6.0,200.5
Gloves,Quarter2,10.7,4.2,98.6
Gloves,Quarter1,27.6,2.4,268.8
T-Shirt,Quarter3,65.4,1.0,456.8
T-Shirt,Quarter2,46.3,4.2,269.4
T-Shirt,Quarter1,55.6,6.8,480.0
T-Shirt,Quarter1,81.7,9.1,635.4
Gloves,Quarter2,23.2,2.0,206.8
Gloves,Quarter3,83.7,4.6,827.8
T-Shirt,Quarter2,83.3,6.8,493.0
Gloves,Quarter2,29.5,7.3,287.7
T-Shirt,Quarter2,97.6,4.1,581.5
Gloves,Quarter2,17.7,3.5,191.2
T-Shirt,Quarter3,69.9,8.5,472.3
Sweatshirt,Quarter2,46.9,3.9,269.7
Sweatshirt,Quarter1,56.4,0.8,336.8
T-Shirt,Quarter2,49.2,6.0,289.2
Gloves,Quarter2,64.2,8.1,505.5
T-Shirt,Quarter4,74.6,1.7,445.9
T-Shirt,Quarter2,62.4,4.2,424.2
T-Shirt,Quarter4,27.6,3.4,214.0
Gloves,Quarter1,37.1,1.4,329.7
Sweatshirt,Quarter2,41.5,3.3,200.9
T-Shirt,Quarter1,50.4,0.3,402.6
Gloves,Quarter1,38.7,4.9,377.2
Gloves,Quarter1,48.0,8.4,471.6
T-Shirt,Quarter2,56.9,1.9,510.2
T-Shirt,Quarter3,99.7,9.7,787.9
Gloves,Quarter4,22.6,0.0,226.0
Gloves,Quarter4,11.1,3.4,115.3
T-Shirt,Quarter2,52.4,6.2,465.4
Sweatshirt,Quarter4,64.3,1.2,447.7
T-Shirt,Quarter1,86.8,8.8,772.4
T-Shirt,Quarter4,70.9,8.4,550.4
Gloves,Quarter3,38.1,7.2,366.6
Gloves,Quarter3,59.8,5.7,521.1
Sweatshirt,Quarter2,45.9,1.7,317.9
T-Shirt,Quarter1,36.2,1.2,288.4
Sweatshirt,Quarter3,85.5,6.1,323.7
Sweatshirt,Quarter3,20.8,1.4,142.8
T-Shirt,Quarter3,72.9,2.4,578.4
T-Shirt,Quarter3,40.0,9.8,210.6
T-Shirt,Quarter4,95.9,0.8,573.8
Sweatshirt,Quarter1,35.8,8.5,170.5
T-Shirt,Quarter3,21.6,8.5,177.4
Sweatshirt,Quarter4,49.0,8.5,170.5
Sweatshirt,Quarter3,50.7,4.9,248.6
Gloves,Quarter2,71.3,0.2,570.0
Gloves,Quarter1,45.6,1.2,362.4
Sweatshirt,Quarter4,55.7,5.3,273.2
Sweatshirt,Quarter3,18.2,8.5,82.5
Sweatshirt,Quarter2,21.9,4.5,122.4
Gloves,Quarter2,28.9,9.2,270.6
Sweatshirt,Quarter3,12.8,9.0,24.2
Sweatshirt,Quarter2,10.6,1.6,62.0
Sweatshirt,Quarter4,90.6,6.2,525.0
Gloves,Quarter1,92.3,7.5,815.7
T-Shirt,Quarter4,21.9,5.7,158.1
Sweatshirt,Quarter4,78.5,0.2,548.9
T-Shirt,Quarter2,89.7,9.0,609.9
Sweatshirt,Quarter2,74.3,6.4,513.7
Gloves,Quarter2,94.8,10.0,833.2
Gloves,Quarter4,15.0,0.8,133.4
Sweatshirt,Quarter3,31.8,3.7,116.1
Gloves,Quarter1,70.1,9.0,683.0
Gloves,Quarter2,14.1,6.4,114.1
Gloves,Quarter1,18.6,1.1,202.4
Gloves,Quarter2,97.9,3.2,877.9
Gloves,Quarter4,16.1,5.2,134.5
Sweatshirt,Quarter2,93.5,9.1,364.9
Sweatshirt,Quarter1,51.7,1.4,255.7
Sweatshirt,Quarter1,30.5,8.8,126.1
Sweatshirt,Quarter2,95.8,1.1,573.7
Sweatshirt,Quarter4,13.6,4.5,59.0
T-Shirt,Quarter3,31.2,8.8,223.2
Sweatshirt,Quarter3,50.7,9.9,233.7
T-Shirt,Quarter4,69.7,4.9,552.7
T-Shirt,Quarter1,78.0,1.6,700.4
T-Shirt,Quarter3,93.6,4.1,834.2
T-Shirt,Quarter4,63.8,8.5,501.9
Sweatshirt,Quarter4,45.7,9.9,254.4
T-Shirt,Quarter2,67.9,0.9,474.4
Sweatshirt,Quarter4,84.5,3.2,585.1
Sweatshirt,Quarter3,95.1,8.3,467.2
Gloves,Quarter1,96.1,2.9,856.2
T-Shirt,Quarter3,84.7,6.1,496.0
Sweatshirt,Quarter3,80.1,0.9,318.6
Sweatshirt,Quarter4,98.4,9.6,472.8
T-Shirt,Quarter4,12.4,7.8,75.8
T-Shirt,Quarter4,60.3,1.8,418.5
T-Shirt,Quarter1,82.5,1.6,658.4
Sweatshirt,Quarter3,35.0,9.3,217.1
T-Shirt,Quarter2,14.3,2.1,126.6
Sweatshirt,Quarter4,63.8,8.6,374.2
Sweatshirt,Quarter2,88.6,2.7,528.9
Sweatshirt,Quarter3,70.6,0.3,493.6
Gloves,Quarter4,84.1,1.6,755.3
T-Shirt,Quarter2,49.6,3.8,335.8
Sweatshirt,Quarter2,26.8,0.2,106.8
Sweatshirt,Quarter1,74.0,9.9,508.1
Sweatshirt,Quarter2,29.9,3.2,143.1
T-Shirt,Quarter2,62.9,7.7,495.5
Gloves,Quarter4,99.3,2.4,985.8
T-Shirt,Quarter3,99.1,0.1,693.5
Sweatshirt,Quarter4,78.0,9.3,518.1
Sweatshirt,Quarter3,98.9,3.9,680.6
Sweatshirt,Quarter3,46.3,4.0,219.5
Gloves,Quarter2,56.1,1.6,447.2
Gloves,Quarter1,37.5,4.8,295.2
Gloves,Quarter1,48.5,4.4,520.3
Gloves,Quarter1,91.5,8.6,706.2
T-Shirt,Quarter4,97.1,5.2,674.5
T-Shirt,Quarter2,77.1,9.0,453.6
Sweatshirt,Quarter3,92.2,7.7,445.6
Gloves,Quarter4,60.3,6.4,469.6
Sweatshirt,Quarter1,77.7,2.4,459.0
Sweatshirt,Quarter1,81.0,7.5,559.5
T-Shirt,Quarter1,65.0,8.4,364.8
T-Shirt,Quarter4,92.7,5.8,730.0
Sweatshirt,Quarter1,33.1,6.3,179.7
Gloves,Quarter1,66.5,1.3,594.6
Sweatshirt,Quarter2,11.0,0.8,65.2
T-Shirt,Quarter2,24.1,7.4,153.9
Sweatshirt,Quarter4,45.3,4.7,221.8
Sweatshirt,Quarter1,32.6,8.4,203.0
T-Shirt,Quarter1,42.1,6.2,372.7
Gloves,Quarter2,14.9,8.4,108.9
T-Shirt,Quarter2,85.9,7.3,679.9
Sweatshirt,Quarter1,95.3,9.6,447.7
Gloves,Quarter1,73.3,8.7,642.3
T-Shirt,Quarter4,60.6,1.8,479.4
Sweatshirt,Quarter4,72.5,1.6,502.7
Sweatshirt,Quarter3,48.7,9.1,264.9
T-Shirt,Quarter1,27.5,5.6,236.3
Sweatshirt,Quarter1,59.3,1.6,291.7
Gloves,Quarter3,55.4,8.9,471.9
Gloves,Quarter3,33.5,3.0,365.5
Sweatshirt,Quarter2,83.5,1.1,416.4
Sweatshirt,Quarter2,80.1,4.1,392.3
T-Shirt,Quarter2,66.1,3.8,455.1
Sweatshirt,Quarter2,17.9,8.0,47.6
T-Shirt,Quarter4,99.2,4.7,784.2
Gloves,Quarter1,29.5,1.2,234.8
Sweatshirt,Quarter3,23.6,9.4,108.6
Sweatshirt,Quarter2,84.8,7.6,501.2
Sweatshirt,Quarter2,99.2,9.3,387.5
Sweatshirt,Quarter2,92.4,7.0,547.4
Sweatshirt,Quarter2,60.6,6.1,296.9
Gloves,Quarter3,45.2,5.3,390.9
T-Shirt,Quarter4,92.0,7.1,530.7
Sweatshirt,Quarter3,61.7,3.8,428.1
Sweatshirt,Quarter2,81.8,4.2,396.4
Gloves,Quarter1,28.1,6.6,289.3
Gloves,Quarter2,96.2,9.0,953.0
Gloves,Quarter4,88.4,0.4,794.4
Gloves,Quarter3,51.3,6.8,557.5
Gloves,Quarter4,36.8,7.0,324.2
T-Shirt,Quarter4,42.7,2.6,248.4
Gloves,Quarter1,84.9,5.7,662.1
Gloves,Quarter1,81.4,0.7,731.9
Sweatshirt,Quarter2,86.9,1.0,433.5
Sweatshirt,Quarter3,88.3,2.7,347.8
T-Shirt,Quarter1,89.9,2.8,533.8
Sweatshirt,Quarter1,95.8,4.2,370.6
Gloves,Quarter1,63.4,4.4,620.8
Gloves,Quarter3,22.5,3.0,171.0
T-Shirt,Quarter3,99.8,7.4,591.4
Sweatshirt,Quarter2,35.7,6.5,207.7
Gloves,Quarter2,55.8,8.5,549.5
Gloves,Quarter4,97.0,2.6,865.2
Sweatshirt,Quarter4,21.9,7.6,116.2
Gloves,Quarter4,39.5,2.0,312.0
Gloves,Quarter2,70.1,4.0,622.9
Sweatshirt,Quarter4,64.9,6.9,447.4
Gloves,Quarter2,57.6,3.8,629.8
T-Shirt,Quarter4,50.1,5.4,440.1
T-Shirt,Quarter3,12.9,6.5,96.7
Gloves,Quarter3,43.2,0.8,344.0
T-Shirt,Quarter2,67.7,2.2,537.2
Sweatshirt,Quarter2,15.2,1.5,59.3
T-Shirt,Quarter1,92.8,6.5,828.7
Sweatshirt,Quarter3,39.2,2.0,268.4
Sweatshirt,Quarter4,11.2,1.2,52.4
Gloves,Quarter4,44.1,3.0,349.8
Gloves,Quarter4,52.6,1.0,577.6
Gloves,Quarter2,73.1,4.5,726.5
T-Shirt,Quarter2,69.4,0.6,623.4
Sweatshirt,Quarter1,26.2,6.2,177.2
Gloves,Quarter3,71.3,9.4,694.2
Gloves,Quarter2,13.9,5.3,114.5
T-Shirt,Quarter4,32.8,4.7,220.2
T-Shirt,Quarter4,59.2,8.3,524.5
Sweatshirt,Quarter1,68.9,7.3,391.5
Gloves,Quarter4,55.6,1.9,605.9
T-Shirt,Quarter2,14.5,8.9,98.2
Sweatshirt,Quarter4,62.8,4.9,309.1
Gloves,Quarter2,68.9,7.2,674.6
Sweatshirt,Quarter4,10.2,5.9,53.7
Gloves,Quarter3,58.9,3.6,644.3
T-Shirt,Quarter1,60.0,0.9,478.2
Gloves,Quarter3,27.6,3.7,299.9
Sweatshirt,Quarter4,67.0,5.5,257.0
T-Shirt,Quarter2,28.2,2.3,166.9
Gloves,Quarter4,34.2,7.1,293.6
T-Shirt,Quarter3,33.5,9.8,272.1
T-Shirt,Quarter2,81.7,0.3,571.6
T-Shirt,Quarter1,54.5,6.8,422.4
T-Shirt,Quarter2,66.1,2.1,524.6
T-Shirt,Quarter2,55.7,2.1,497.1
T-Shirt,Quarter2,64.4,7.4,436.0
Sweatshirt,Quarter1,15.9,2.9,60.7
Sweatshirt,Quarter1,25.2,3.0,94.8
T-Shirt,Quarter4,90.9,1.0,542.4
Gloves,Quarter1,75.8,8.6,732.2
T-Shirt,Quarter2,67.6,6.4,589.2
Sweatshirt,Quarter1,59.1,2.2,407.1
Sweatshirt,Quarter2,39.3,5.0,186.5
T-Shirt,Quarter3,21.4,2.4,166.4
T-Shirt,Quarter3,20.3,6.6,162.9
T-Shirt,Quarter3,41.4,1.0,287.8
Sweatshirt,Quarter1,55.2,1.5,383.4
Gloves,Quarter3,42.6,3.4,330.6
Gloves,Quarter1,24.3,0.1,218.5
T-Shirt,Quarter4,34.3,5.2,224.5
Sweatshirt,Quarter4,97.3,7.5,464.0
Gloves,Quarter3,32.4,6.5,252.7
T-Shirt,Quarter4,90.0,1.7,714.9
T-Shirt,Quarter4,25.5,3.4,226.1
Gloves,Quarter3,62.5,5.6,613.8
Sweatshirt,Quarter2,85.9,2.5,422.0
Sweatshirt,Quarter4,99.8,0.3,698.3
Sweatshirt,Quarter2,77.8,1.0,387.0
T-Shirt,Quarter2,19.0,2.2,145.4
T-Shirt,Quarter4,77.9,3.3,464.1
Sweatshirt,Quarter1,41.3,3.3,279.2
Gloves,Quarter1,28.8,1.5,285.0
T-Shirt,Quarter3,35.3,3.0,244.1
Sweatshirt,Quarter4,58.0,0.6,230.8
Gloves,Quarter4,81.5,0.1,651.9
Sweatshirt,Quarter2,83.7,8.0,394.5
T-Shirt,Quarter4,98.6,9.2,573.2
Sweatshirt,Quarter1,92.8,4.8,361.6
Gloves,Quarter3,74.2,8.6,733.4
T-Shirt,Quarter3,49.3,8.5,426.7
Sweatshirt,Quarter1,98.5,9.6,473.3
Gloves,Quarter1,94.9,9.1,1034.8
Sweatshirt,Quarter3,35.4,8.7,115.5
Sweatshirt,Quarter2,75.5,5.7,284.9
Sweatshirt,Quarter3,65.0,3.9,317.2
Sweatshirt,Quarter4,47.9,4.9,320.6
Gloves,Quarter1,99.3,2.9,1083.6
Sweatshirt,Quarter1,39.7,0.3,237.3
T-Shirt,Quarter3,73.0,1.2,436.8
T-Shirt,Quarter2,43.5,3.0,301.5
Gloves,Quarter2,78.6,4.5,698.4
T-Shirt,Quarter4,60.9,4.0,418.3
T-Shirt,Quarter3,18.8,2.1,108.6
Sweatshirt,Quarter4,21.4,2.7,144.4
T-Shirt,Quarter2,52.6,3.1,470.3
Sweatshirt,Quarter3,32.5,0.7,160.4
Gloves,Quarter3,14.6,1.6,113.6
Gloves,Quarter4,80.9,1.0,888.9
Sweatshirt,Quarter2,77.4,0.8,385.4
T-Shirt,Quarter4,47.1,0.6,329.1
Sweatshirt,Quarter2,82.2,3.8,403.4
Sweatshirt,Quarter2,89.5,9.8,597.1
Sweatshirt,Quarter4,74.2,1.8,439.8
Gloves,Quarter3,27.3,4.4,236.9
Sweatshirt,Quarter4,87.9,0.9,526.5
T-Shirt,Quarter3,20.5,5.4,173.7
Gloves,Quarter2,31.6,1.3,343.7
T-Shirt,Quarter2,85.1,8.4,655.6
Gloves,Quarter1,87.7,3.5,694.6
T-Shirt,Quarter1,18.0,7.8,100.2
Sweatshirt,Quarter2,21.6,3.0,83.4
Gloves,Quarter2,28.0,0.5,222.5
T-Shirt,Quarter4,43.1,7.7,250.9
T-Shirt,Quarter3,66.6,5.4,594.0
Gloves,Quarter3,79.3,2.7,708.3
T-Shirt,Quarter2,55.5,0.6,386.7
Sweatshirt,Quarter2,82.4,2.1,574.7
Gloves,Quarter3,75.7,5.8,821.1
Sweatshirt,Quarter2,44.9,0.0,269.4
T-Shirt,Quarter3,73.4,9.0,504.8
T-Shirt,Quarter1,88.8,6.2,786.8
Sweatshirt,Quarter3,11.7,1.4,42.6
Sweatshirt,Quarter1,57.2,6.5,380.9
T-Shirt,Quarter3,77.9,0.0,467.4
Sweatshirt,Quarter2,10.2,6.5,44.5
T-Shirt,Quarter4,19.9,9.3,131.3
T-Shirt,Quarter4,88.7,9.0,514.2
Sweatshirt,Quarter2,28.5,4.0,191.5
Gloves,Quarter2,42.0,7.5,397.5
Sweatshirt,Quarter2,56.3,1.1,279.3
T-Shirt,Quarter3,70.2,9.4,542.8
T-Shirt,Quarter3,67.3,7.3,381.9
Gloves,Quarter1,79.6,9.7,706.7
Sweatshirt,Quarter3,76.5,9.2,354.9
Gloves,Quarter1,56.5,1.4,447.8
T-Shirt,Quarter1,52.8,0.5,474.7
Gloves,Quarter3,16.0,1.5,141.0
Gloves,Quarter2,69.8,4.8,544.0
T-Shirt,Quarter3,17.0,0.0,153.0
T-Shirt,Quarter4,89.1,4.5,708.3
T-Shirt,Quarter1,92.1,9.8,625.1
Sweatshirt,Quarter4,63.3,1.7,248.1
Sweatshirt,Quarter1,55.7,10.0,324.2
T-Shirt,Quarter2,33.9,1.2,267.6
T-Shirt,Quarter1,66.5,1.5,397.5
Gloves,Quarter1,30.9,6.1,321.6
Sweatshirt,Quarter3,78.2,3.5,543.9
Gloves,Quarter3,79.9,6.7,865.5
T-Shirt,Quarter3,41.2,5.5,271.9
Gloves,Quarter4,82.9,6.3,899.3
Sweatshirt,Quarter1,86.4,1.9,343.7
Sweatshirt,Quarter1,97.6,6.6,370.6
T-Shirt,Quarter3,89.1,3.0,620.7
Gloves,Quarter1,66.6,9.9,712.8
T-Shirt,Quarter2,41.9,1.5,249.9
Gloves,Quarter2,71.2,7.0,698.0
Gloves,Quarter3,42.2,0.8,461.8
Sweatshirt,Quarter1,52.4,4.2,197.0
Gloves,Quarter1,10.4,3.2,108.0
T-Shirt,Quarter1,80.2,5.3,465.3
Sweatshirt,Quarter2,14.2,7.6,91.8
Gloves,Quarter1,68.0,6.3,599.4
T-Shirt,Quarter1,70.4,9.7,473.4
Sweatshirt,Quarter1,28.6,2.4,135.8
T-Shirt,Quarter2,73.0,7.9,576.1
Gloves,Quarter4,39.0,6.2,416.6
T-Shirt,Quarter4,47.6,1.7,425.0
T-Shirt,Quarter2,30.1,7.7,225.4
T-Shirt,Quarter2,35.2,0.9,244.6
T-Shirt,Quarter4,12.9,10.0,93.2
Sweatshirt,Quarter2,66.8,4.8,262.4
T-Shirt,Quarter1,57.7,4.5,341.7
Gloves,Quarter2,90.0,4.7,895.3
T-Shirt,Quarter4,93.4,4.7,831.2
T-Shirt,Quarter4,68.1,5.6,596.1
Sweatshirt,Quarter1,66.0,0.8,329.2
T-Shirt,Quarter2,21.3,3.3,142.5
Gloves,Quarter4,27.0,8.7,189.9
Gloves,Quarter1,57.0,2.7,447.9
Gloves,Quarter4,65.6,9.0,647.0
T-Shirt,Quarter2,29.5,5.8,200.7
Sweatshirt,Quarter3,97.1,5.3,474.9
T-Shirt,Quarter3,96.5,8.3,650.6
Sweatshirt,Quarter2,42.6,0.0,298.2
Sweatshirt,Quarter1,63.9,5.8,366.0
T-Shirt,Quarter2,48.9,5.4,282.6
T-Shirt,Quarter1,50.4,9.4,375.0
T-Shirt,Quarter2,63.9,5.2,436.9
T-Shirt,Quarter1,97.5,2.7,771.9
T-Shirt,Quarter4,78.8,2.3,465.9
Gloves,Quarter2,58.7,6.9,462.7
Sweatshirt,Quarter3,87.3,0.7,347.1
T-Shirt,Quarter4,87.9,4.8,776.7
T-Shirt,Quarter3,78.9,1.1,471.2
Gloves,Quarter2,44.7,5.9,479.9
Sweatshirt,Quarter3,59.5,0.4,296.3
Gloves,Quarter1,76.1,10.0,741.0
Gloves,Quarter3,85.7,0.0,942.7
T-Shirt,Quarter1,52.1,0.6,312.0
Gloves,Quarter1,24.7,1.5,194.6
T-Shirt,Quarter3,26.9,7.3,234.8
T-Shirt,Quarter2,17.8,9.3,88.2
Sweatshirt,Quarter2,98.8,3.8,490.2
T-Shirt,Quarter2,23.3,1.7,184.7
Gloves,Quarter4,87.5,4.3,953.9
Gloves,Quarter3,30.3,6.4,314.1
T-Shirt,Quarter2,54.7,2.3,433.0
Sweatshirt,Quarter2,44.4,5.4,305.4
T-Shirt,Quarter1,96.8,2.0,865.2
T-Shirt,Quarter2,31.9,8.3,183.1
T-Shirt,Quarter4,31.7,5.5,242.6
T-Shirt,Quarter2,61.0,0.2,426.8
Gloves,Quarter1,31.6,2.7,281.7
T-Shirt,Quarter4,87.8,9.7,692.7
Gloves,Quarter4,58.0,8.3,505.4
Gloves,Quarter4,33.2,6.6,318.8
Gloves,Quarter2,20.0,9.5,201.0
T-Shirt,Quarter2,28.2,1.2,224.4
Sweatshirt,Quarter1,79.0,2.2,313.8
Sweatshirt,Quarter1,19.0,7.7,90.9
Sweatshirt,Quarter4,47.8,6.1,226.8
T-Shirt,Quarter1,10.6,4.9,75.0
T-Shirt,Quarter3,87.4,0.4,523.2
Sweatshirt,Quarter4,51.9,3.5,304.4
T-Shirt,Quarter2,49.1,7.7,385.1
Gloves,Quarter2,72.5,6.4,567.2
Gloves,Quarter3,92.7,3.4,731.4
Sweatshirt,Quarter2,41.2,4.5,151.3
Sweatshirt,Quarter1,75.2,5.9,520.5
Gloves,Quarter1,93.1,2.0,740.8
Sweatshirt,Quarter1,50.9,2.7,246.4
Gloves,Quarter2,39.3,0.4,392.6
Gloves,Quarter4,33.8,5.4,332.6
T-Shirt,Quarter2,31.3,0.3,249.8
T-Shirt,Quarter2,94.4,2.4,844.8
Sweatshirt,Quarter2,20.7,6.9,96.6
Sweatshirt,Quarter3,58.5,2.6,404.3
Gloves,Quarter3,86.7,0.6,691.8
Sweatshirt,Quarter1,93.3,7.6,365.6
Gloves,Quarter4,42.8,2.4,337.6
Sweatshirt,Quarter3,44.3,6.1,158.9
Sweatshirt,Quarter4,43.1,0.3,215.2
Gloves,Quarter1,96.2,9.8,856.0
Gloves,Quarter3,44.8,8.4,484.4
Gloves,Quarter4,37.4,5.0,364.0
Gloves,Quarter1,46.9,5.4,364.4
T-Shirt,Quarter2,47.5,4.0,376.0
Sweatshirt,Quarter3,26.2,5.9,145.4
Sweatshirt,Quarter2,64.5,8.5,249.5
T-Shirt,Quarter4,88.4,1.4,705.8
Gloves,Quarter3,79.9,7.5,776.5
